Type.hybrid.1,MMI.hybrid,Replicate,SampleDate,StationID
Reference,0.816661347,1,5.7.13,205R00182
Stressed,0.944015448,1,5.23.12,205R00218
Stressed,0.497018585,1,6.5.12,205R00227
Stressed,0.760580884,1,5.15.12,205R00234
Stressed,0.80720688,1,5.21.12,205R00241
Stressed,0.947113779,1,6.14.12,205R00259
Stressed,0.881114701,1,5.22.12,205R00282
Stressed,0.837217461,1,6.13.12,205R00291
Stressed,0.926209916,1,6.14.12,205R00346
Stressed,0.969467717,2,6.14.12,205R00346
Stressed,0.825137054,1,6.13.12,205R00355
Intermediate,0.805054357,1,6.3.13,205R00374
Stressed,0.726160363,1,6.6.13,205R00387
Stressed,0.817096403,1,6.11.13,205R00419
Stressed,0.666988929,1,6.5.12,205R00430
Stressed,0.789369242,1,6.5.13,205R00451
Stressed,0.894928606,1,5.9.13,205R00474
Stressed,0.761252724,1,6.20.12,205R00535
Stressed,0.706267723,2,6.20.12,205R00535
Stressed,0.794979561,1,5.8.13,205R00538
Stressed,0.339574257,1,6.4.13,205R00547
Stressed,0.73114512,1,5.29.13,205R00554
Stressed,0.854279003,1,6.10.13,205R00586
Stressed,0.886658213,1,6.3.13,205R00602
Stressed,0.474776668,1,6.4.13,205R00627
Stressed,0.864985674,1,5.9.13,205R00666
Stressed,0.680887796,1,4.24.13,205R00686
Stressed,0.825906959,1,6.5.13,205R00707
Stressed,0.755937958,2,6.5.13,205R00707
Stressed,0.917639543,1,6.10.13,205R00714
Stressed,0.350727411,1,6.11.13,205R00739
Stressed,0.945564015,1,6.6.13,205R00771
NA,0.910169843,1,6.12.13,205R00787
NA,0.799258512,2,6.12.13,205R00787
Stressed,0.627249918,1,5.27.13,205R00872
Stressed,0.504953369,1,4.24.13,205R00878
Stressed,0.81583881,1,5.27.13,205R00984
Stressed,0.76553991,1,5.20.13,205R01134
Stressed,0.814314574,1,5.20.13,205R01198
Stressed,0.714408793,1,5.23.13,205R01390
Stressed,0.947328021,1,5.13.09,205SAR057
Stressed,0.907603115,1,5.13.09,205SAR060
Stressed,1.106591559,1,5.14.09,205SAR070
